source_name,link,type,raw_download_available,variables_used,credibility,limitation,next_step
PEZA List of Economic Zones (as of 30 June 2024),https://www.peza.gov.ph,government list (XLS),yes,"zone name, location, developer, area (sqm), region, zone type, operating status",official Philippine government agency administering all economic zones,no coordinates; addresses are text strings requiring geocoding; no explicit establishment year,geocode addresses via RCC-GIS; extract proclamation dates from PEZA website per zone
UChicago RCC-GIS Geocoding Service,https://gis.rcc.uchicago.edu,geocoding API,yes (output CSV),"latitude, longitude, match score per zone address",University of Chicago institutional Esri geocoder,14 zones returned 0 match score (dropped); some rural addresses may be imprecise,spot-check low-scoring geocodes against Google Maps; manually correct outliers
HDX Philippines Administrative Boundaries (COD-AB),https://data.humdata.org/dataset/cod-ab-phl,XLSX gazetteer + shapefile,yes,"admin3 (municipality) names and pcodes, admin2 (province) names and pcodes",OCHA Common Operational Dataset sourced from PSA and NAMRIA,used gazetteer for name-matching rather than spatial join; some municipality names differ from PEZA conventions,use shapefile for point-in-polygon join if shapefile reads successfully
HDX Philippines Population Projections (COD-PS),https://data.humdata.org/dataset/cod-ps-phl,CSV/XLSX,yes,"total population by sex and age group, province level, 2022-2025 projections",UNFPA-validated projections based on PSA 2015 Census,projections not actuals; province-level aggregation masks within-province variation,link to 2020 Census actuals at municipality level for finer resolution
HeiGIT Flood Exposure (ADM2),https://data.humdata.org/dataset/philippines---risk-assessment-indicators,CSV,yes,population exposed to flooding at return periods 10/50/100/500yr by demographic group,HeiGIT / Heidelberg Institute for Geoinformation Technology; established flood modelling,exposure estimates depend on flood model assumptions; 30cm depth threshold,cross-reference with PAGASA historical flood data
HeiGIT Health and Education Facilities (ADM2),https://data.humdata.org/dataset/philippines---risk-assessment-indicators,CSV,yes,"counts of hospitals, primary healthcare facilities, education facilities per province",HeiGIT; facility locations likely sourced from OpenStreetMap,OSM coverage varies; rural facilities may be underrepresented,validate against DOH National Health Facility Registry
HeiGIT Rural Population (ADM2),https://data.humdata.org/dataset/philippines---risk-assessment-indicators,CSV,yes,"rural population counts by demographic group, rural population share per province",HeiGIT; based on population distribution models,rural/urban classification depends on model resolution,compare with PSA urbanisation statistics
HeiGIT Resource Access (ADM2),https://data.humdata.org/dataset/philippines---risk-assessment-indicators,CSV,yes,"population within 5/10/20km of education, within 30min/1h/2h of hospitals and primary healthcare",HeiGIT; travel time estimates based on road network analysis,travel time models assume normal conditions; actual access affected by traffic and geography,validate with ground-truth travel surveys if available
BIR Monthly Internal Revenue Collections by Province (2016-2024),https://data.bettergov.ph/datasets/8/resources/27,CSV,yes,"monthly tax revenue by region and province, CY 2016-2024",Bureau of Internal Revenue via Open Data Philippines; official government tax data,province-level aggregation; does not separate zone-specific tax from general provincial revenue,use as outcome variable in staggered DiD linking zone establishment to provincial tax revenue
Wikipedia: List of Special Economic Zones in the Philippines,https://en.wikipedia.org/wiki/List_of_special_economic_zones_in_the_Philippines,wiki table,no (scraping required),"zone names, locations, developers, region, area",community-maintained but well-sourced from PEZA and government proclamations,may be outdated or incomplete relative to official PEZA list,use as supplementary cross-check only
Philippine Statistics Authority,https://psa.gov.ph,government portal,partial,"GDP by region, population census, building permits, labour force surveys",official national statistics office,most granular data in PDF or requires formal data request,submit formal data request for municipality-level GDP and building permits
